query1,query2,query3,query4,query5,query6,query7
28.07017544;39.42307692;42.04545455;28.26086957;30;32.25806452;75
37.71929825;39.42307692;36.36363636;30.43478261;21.53846154;20.96774194;75
30.70175439;26.92307692;35.22727273;25;23.07692308;22.58064516;63.63636364
35.0877193;27.88461538;35.22727273;30.43478261;23.84615385;23.65591398;70.45454545
50.87719298;56.73076923;59.09090909;55.43478261;42.30769231;42.47311828;90.90909091
31.57894737;25.96153846;37.5;28.26086957;18.46153846;19.89247312;61.36363636
30.70175439;29.80769231;38.63636364;32.60869565;25.38461538;24.19354839;65.90909091
12.28070175;5.769230769;11.36363636;10.86956522;7.692307692;9.139784946;31.81818182
26.31578947;16.34615385;30.68181818;28.26086957;14.61538462;12.90322581;56.81818182
40.35087719;35.57692308;40.90909091;38.04347826;30;34.94623656;84.09090909
32.45614035;24.03846154;29.54545455;26.08695652;24.61538462;21.50537634;65.90909091
34.21052632;43.26923077;35.22727273;28.26086957;20;22.04301075;68.18181818
33.33333333;35.57692308;36.36363636;29.34782609;22.30769231;23.11827957;68.18181818
26.31578947;19.23076923;35.22727273;26.08695652;20;23.11827957;65.90909091
29.8245614;24.03846154;29.54545455;25;16.92307692;16.66666667;63.63636364
28.07017544;23.07692308;31.81818182;25;23.07692308;22.58064516;61.36363636
30.70175439;20.19230769;36.36363636;30.43478261;23.84615385;23.65591398;68.18181818
33.33333333;29.80769231;37.5;25;16.15384615;19.35483871;61.36363636
35.96491228;29.80769231;38.63636364;32.60869565;28.46153846;31.72043011;75
28.94736842;24.03846154;36.36363636;22.82608696;15.38461538;18.8172043;56.81818182
27.19298246;28.84615385;34.09090909;25;20.76923077;22.58064516;68.18181818
26.31578947;17.30769231;28.40909091;20.65217391;12.30769231;10.21505376;52.27272727
41.22807018;34.61538462;39.77272727;28.26086957;21.53846154;19.89247312;68.18181818
24.56140351;23.07692308;32.95454545;23.91304348;22.30769231;17.74193548;68.18181818
30.70175439;37.5;46.59090909;41.30434783;34.61538462;37.09677419;84.09090909
27.19298246;26.92307692;31.81818182;25;24.61538462;22.04301075;68.18181818
28.07017544;25;28.40909091;19.56521739;15.38461538;14.51612903;50
19.29824561;13.46153846;20.45454545;18.47826087;10;8.064516129;38.63636364
22.80701754;14.42307692;23.86363636;18.47826087;13.84615385;12.90322581;45.45454545
35.0877193;36.53846154;38.63636364;25;22.30769231;22.04301075;68.18181818
22.80701754;18.26923077;31.81818182;26.08695652;18.46153846;17.20430108;59.09090909
26.31578947;19.23076923;28.40909091;23.91304348;20.76923077;25.2688172;56.81818182
44.73684211;32.69230769;44.31818182;34.7826087;29.23076923;39.24731183;77.27272727
33.33333333;20.19230769;30.68181818;28.26086957;19.23076923;18.8172043;68.18181818
40.35087719;36.53846154;50;39.13043478;31.53846154;38.70967742;86.36363636
43.85964912;38.46153846;39.77272727;30.43478261;21.53846154;17.20430108;63.63636364
35.96491228;27.88461538;39.77272727;30.43478261;26.92307692;26.88172043;77.27272727
40.35087719;48.07692308;53.40909091;43.47826087;36.15384615;38.17204301;88.63636364
33.33333333;28.84615385;36.36363636;28.26086957;20;19.89247312;63.63636364
12.28070175;8.653846154;15.90909091;13.04347826;6.923076923;5.913978495;34.09090909
27.19298246;27.88461538;37.5;30.43478261;26.15384615;27.95698925;75
6.140350877;8.653846154;6.818181818;8.695652174;5.384615385;1.612903226;15.90909091
38.59649123;42.30769231;52.27272727;39.13043478;36.15384615;46.23655914;90.90909091
22.80701754;15.38461538;25;19.56521739;16.92307692;13.44086022;52.27272727
28.07017544;22.11538462;23.86363636;20.65217391;16.15384615;12.90322581;50
31.57894737;28.84615385;32.95454545;25;23.84615385;29.03225806;56.81818182
31.57894737;27.88461538;39.77272727;34.7826087;28.46153846;29.56989247;75
35.96491228;23.07692308;39.77272727;27.17391304;26.15384615;29.03225806;68.18181818
7.01754386;4.807692308;5.681818182;4.347826087;3.846153846;4.838709677;13.63636364
26.31578947;24.03846154;36.36363636;20.65217391;21.53846154;18.8172043;56.81818182
24.56140351;24.03846154;22.72727273;23.91304348;17.69230769;12.90322581;52.27272727
19.29824561;13.46153846;19.31818182;20.65217391;8.461538462;12.3655914;45.45454545
5.263157895;6.730769231;7.954545455;6.52173913;2.307692308;6.451612903;15.90909091
41.22807018;43.26923077;39.77272727;30.43478261;24.61538462;29.03225806;75
21.05263158;23.07692308;29.54545455;25;20;13.44086022;50
28.07017544;32.69230769;35.22727273;30.43478261;26.92307692;23.65591398;68.18181818
48.24561404;48.07692308;54.54545455;51.08695652;32.30769231;39.78494624;84.09090909
21.05263158;29.80769231;23.86363636;23.91304348;17.69230769;15.05376344;54.54545455
23.68421053;20.19230769;28.40909091;23.91304348;23.07692308;22.58064516;59.09090909
26.31578947;30.76923077;37.5;30.43478261;29.23076923;28.49462366;70.45454545
