query1,query2,query3,query4,query5,query6,query7
13.58024691,27.77777778,32.30769231,21.91780822,24.27184466,26.24113475,66.66666667
23.45679012,31.94444444,26.15384615,21.91780822,11.65048544,12.76595745,62.5
18.51851852,16.66666667,24.61538462,21.91780822,13.59223301,15.60283688,54.16666667
22.22222222,22.22222222,23.07692308,21.91780822,15.53398058,15.60283688,58.33333333
35.80246914,44.44444444,46.15384615,46.57534247,33.98058252,36.17021277,83.33333333
20.98765432,19.44444444,27.69230769,21.91780822,12.62135922,14.18439716,58.33333333
17.28395062,20.83333333,29.23076923,24.65753425,17.47572816,19.14893617,54.16666667
4.938271605,4.166666667,7.692307692,5.479452055,3.883495146,5.673758865,16.66666667
13.58024691,9.722222222,23.07692308,20.54794521,8.737864078,7.092198582,54.16666667
24.69135802,22.22222222,30.76923077,28.76712329,19.41747573,26.24113475,75
19.75308642,15.27777778,23.07692308,17.80821918,17.47572816,17.0212766,54.16666667
19.75308642,36.11111111,24.61538462,20.54794521,11.65048544,12.76595745,54.16666667
22.22222222,25,26.15384615,20.54794521,15.53398058,14.18439716,54.16666667
14.81481481,11.11111111,27.69230769,16.43835616,15.53398058,19.14893617,54.16666667
16.04938272,13.88888889,18.46153846,16.43835616,8.737864078,9.219858156,45.83333333
16.04938272,12.5,24.61538462,17.80821918,17.47572816,19.85815603,54.16666667
18.51851852,11.11111111,24.61538462,24.65753425,17.47572816,17.73049645,54.16666667
18.51851852,19.44444444,26.15384615,16.43835616,8.737864078,11.34751773,41.66666667
19.75308642,16.66666667,27.69230769,23.28767123,21.3592233,25.53191489,66.66666667
14.81481481,15.27777778,27.69230769,15.06849315,9.708737864,12.76595745,41.66666667
17.28395062,19.44444444,29.23076923,19.17808219,12.62135922,17.73049645,58.33333333
14.81481481,13.88888889,20,12.32876712,5.825242718,3.546099291,41.66666667
28.39506173,26.38888889,29.23076923,21.91780822,13.59223301,12.76595745,54.16666667
14.81481481,13.88888889,24.61538462,19.17808219,14.5631068,13.4751773,58.33333333
18.51851852,25,38.46153846,34.24657534,28.15533981,31.91489362,79.16666667
16.04938272,18.05555556,26.15384615,17.80821918,18.44660194,18.43971631,58.33333333
13.58024691,12.5,18.46153846,10.95890411,6.796116505,7.80141844,33.33333333
12.34567901,9.722222222,15.38461538,13.69863014,5.825242718,4.255319149,33.33333333
12.34567901,9.722222222,18.46153846,12.32876712,9.708737864,9.929078014,41.66666667
23.45679012,26.38888889,29.23076923,16.43835616,15.53398058,17.0212766,58.33333333
16.04938272,12.5,26.15384615,21.91780822,14.5631068,14.89361702,58.33333333
18.51851852,12.5,24.61538462,20.54794521,16.50485437,21.9858156,54.16666667
29.62962963,19.44444444,32.30769231,26.02739726,21.3592233,31.91489362,66.66666667
17.28395062,11.11111111,21.53846154,17.80821918,11.65048544,10.63829787,50
23.45679012,23.61111111,36.92307692,30.1369863,22.33009709,31.20567376,75
29.62962963,27.77777778,24.61538462,20.54794521,9.708737864,7.80141844,45.83333333
22.22222222,16.66666667,29.23076923,23.28767123,19.41747573,20.56737589,70.83333333
28.39506173,36.11111111,40,34.24657534,28.15533981,31.20567376,83.33333333
18.51851852,19.44444444,24.61538462,23.28767123,12.62135922,16.31205674,50
7.407407407,5.555555556,10.76923077,9.589041096,3.883495146,2.836879433,25
16.04938272,20.83333333,32.30769231,26.02739726,17.47572816,24.82269504,66.66666667
4.938271605,5.555555556,6.153846154,8.219178082,4.854368932,1.418439716,16.66666667
24.69135802,31.94444444,36.92307692,31.50684932,27.18446602,38.29787234,83.33333333
12.34567901,8.333333333,20,15.06849315,10.67961165,11.34751773,45.83333333
18.51851852,13.88888889,18.46153846,17.80821918,9.708737864,7.80141844,41.66666667
17.28395062,18.05555556,20,16.43835616,17.47572816,24.82269504,41.66666667
18.51851852,15.27777778,29.23076923,27.39726027,21.3592233,23.40425532,62.5
23.45679012,13.88888889,27.69230769,19.17808219,17.47572816,23.40425532,50
2.469135802,2.777777778,4.615384615,2.739726027,2.912621359,3.546099291,8.333333333
12.34567901,11.11111111,26.15384615,15.06849315,13.59223301,14.18439716,45.83333333
16.04938272,15.27777778,20,20.54794521,13.59223301,8.510638298,45.83333333
11.11111111,9.722222222,12.30769231,15.06849315,6.796116505,8.510638298,41.66666667
1.234567901,4.166666667,3.076923077,4.109589041,1.941747573,2.836879433,8.333333333
25.92592593,30.55555556,29.23076923,20.54794521,17.47572816,19.85815603,58.33333333
13.58024691,18.05555556,26.15384615,23.28767123,14.5631068,10.63829787,45.83333333
14.81481481,25,23.07692308,23.28767123,17.47572816,17.0212766,50
33.33333333,36.11111111,41.53846154,45.20547945,25.24271845,33.33333333,75
13.58024691,22.22222222,15.38461538,17.80821918,13.59223301,10.63829787,41.66666667
12.34567901,13.88888889,24.61538462,20.54794521,20.38834951,19.85815603,54.16666667
16.04938272,25,29.23076923,27.39726027,23.30097087,24.11347518,70.83333333
