wordCount,sentCount,characCount,declarativeSent,imperativeSent,intterrogativeSent,exclamatorySent,exitentialSent,toBeCount,passiveSent,startPronoun,verbCount,adjCount,nounCount,modalCount,paragCount,bulletCount,imgCount,avgParag,shortSent,numOfSec,avgSecLen,shortLen,flesh,smog,variety(stemmed),Cov-Cor,Discern
24055,1279,123060,0.682564504,0.111806099,0.04691165,0.008600469,0.00053367,0.034961546,0.117279124,0.045347928,0.144086469,0.104926211,0.378133444,0.016545417,535,501,77,2,37,206,111,2,10.3,8.9,0.084809179,quality,quality
4455,186,21852,0.688172043,0.102150538,0.059139785,0.005376344,0.00369985,0.025364759,0.086021505,0.048387097,0.172839506,0.077665544,0.323232323,0.018855219,21,3,4,9,42,10,159,3,9.8,8.6,0.328134027,quality,nonquality
2479,130,13403,0.838461538,0.007692308,0.007692308,0,0.006449704,0.037515127,0.261538462,0.153846154,0.141589351,0.088745462,0.420330779,0.022589754,21,20,0,6,40,20,115,14,11.6,10.4,0.244453409,quality,quality
11272,459,58431,0.764705882,0.032679739,0.010893246,0.004357298,0.001666026,0.032647268,0.14379085,0.082788671,0.149751597,0.103176011,0.343594748,0.012065295,338,13,0,1,44,35,313,98,11.3,10.1,0.168870352,nonquality,nonquality
7283,350,37698,0.717142857,0.082857143,0.017142857,0.005714286,0.00204898,0.024165866,0.08,0.068571429,0.152409721,0.085129754,0.373609776,0.017437869,3,139,0,117,39,41,173,4,10.9,9.7,0.173265278,quality,nonquality
16085,689,81744,0.825834543,0.020319303,0.020319303,0.001451379,0.001198599,0.03817221,0.287373004,0.100145138,0.155859496,0.084239975,0.345663662,0.015853279,220,4,0,3,35,44,363,87,11.5,9.7,0.12477441,quality,quality
5481,325,27067,0.627692308,0.046153846,0,0.024615385,0.001931361,0.040321109,0.218461538,0.116923077,0.157817916,0.091041781,0.329866813,0.017879949,2,139,0,163,32,14,387,12,8.8,8.2,0.219258177,nonquality,nonquality
661,33,3330,0.787878788,0.060606061,0.060606061,0,0.023875115,0.027231467,0.212121212,0.151515152,0.15279879,0.069591528,0.364599092,0.02269289,6,19,0,6,42,8,77,21,10.2,8.8,0.379727685,nonquality,nonquality
4655,281,25745,0.551601423,0.010676157,0.014234875,0,0.001962994,0.023630505,0.085409253,0.056939502,0.147583244,0.089795918,0.40386681,0.014178303,153,25,12,2,34,35,116,27,11.2,9.7,0.200859291,quality,quality
324,13,1618,0.769230769,0,0.076923077,0.076923077,0.059171598,0.021604938,0,0.153846154,0.148148148,0.077160494,0.354938272,0.030864198,9,16,0,1,38,2,159,3,12.8,8.6,0.515432099,nonquality,nonquality
34028,1690,168800,0.780473373,0.071005917,0.018343195,0.010059172,0.000461819,0.036499353,0.256804734,0.072781065,0.15810509,0.089955331,0.338867991,0.015046432,461,296,29,4,35,156,267,8,9.6,8.6,0.085554739,quality,quality
2300,129,12736,0.689922481,0.07751938,0.007751938,0.046511628,0.005348236,0.026521739,0.124031008,0.069767442,0.153478261,0.076956522,0.416956522,0.015217391,92,34,6,1,40,14,161,29,11,9.8,0.286521739,nonquality,nonquality
3254,214,16889,0.682242991,0.014018692,0.028037383,0.009345794,0.003188051,0.033804548,0.042056075,0.107476636,0.134603565,0.100491703,0.374923171,0.009219422,103,10,0,2,33,12,260,59,9.6,8.7,0.230485556,nonquality,nonquality
6417,315,34027,0.926984127,0.00952381,0.015873016,0,0.002942807,0.036465638,0.174603175,0.028571429,0.145706717,0.103007636,0.386785102,0.018544491,260,51,0,1,37,38,165,6,12.3,9.6,0.163472027,quality,quality
7955,371,40490,0.754716981,0.067385445,0.070080863,0,0.002034278,0.03469516,0.148247978,0.129380054,0.161156505,0.087492143,0.354242615,0.024764299,153,187,1,2,43,46,164,1,10.9,9.2,0.176699761,quality,quality
6709,429,33927,0.645687646,0.076923077,0.058275058,0,0.001505099,0.038604859,0.216783217,0.072261072,0.163511701,0.085854822,0.32270085,0.01997317,238,97,2,2,29,62,100,6,9.6,8.5,0.177969891,quality,quality
223,12,1090,0.833333333,0.083333333,0,0,0.069444444,0.02690583,0,0.083333333,0.156950673,0.071748879,0.390134529,0.004484305,7,0,2,2,17,3,66,50,9.8,7.9,0.493273543,nonquality,nonquality
5798,424,29174,0.688679245,0.051886792,0.089622642,0,0.001624244,0.02535357,0.04009434,0.08254717,0.152983788,0.075543291,0.350293205,0.021041739,163,92,3,3,24,21,270,50,8.9,8,0.170576061,quality,nonquality
3770,189,19062,0.682539683,0.037037037,0.005291005,0,0.003611321,0.023342175,0.174603175,0.08994709,0.14933687,0.091511936,0.392572944,0.013262599,51,12,0,4,38,13,284,88,9.9,8.4,0.223607427,nonquality,nonquality
1239,78,6236,0.858974359,0.064102564,0.012820513,0,0.011012492,0.040355125,0.128205128,0.025641026,0.152542373,0.108958838,0.351089588,0.01614205,13,29,0,6,29,4,307,18,9.5,8.8,0.31902834,nonquality,nonquality
449,30,2144,0.866666667,0.033333333,0.033333333,0,0.028888889,0.057906459,0.266666667,0.133333333,0.178173719,0.077951002,0.347438753,0.013363029,9,10,1,3,30,6,72,27,8.9,6.7,0.405345212,nonquality,nonquality
9812,645,49754,0.727131783,0.048062016,0.049612403,0.001550388,0.001127336,0.038218508,0.181395349,0.125581395,0.159498573,0.091520587,0.352629433,0.025275173,197,174,2,3,31,51,178,32,9.2,8,0.145332246,quality,quality
1947,93,10353,0.677419355,0.204301075,0.129032258,0.010752688,0.007284079,0.025680534,0.086021505,0.075268817,0.143810991,0.088341037,0.400616333,0.015921931,81,28,8,1,37,11,173,29,11.8,9.5,0.320308483,nonquality,nonquality
6494,281,33502,0.84341637,0.010676157,0.017793594,0,0.003001482,0.027563905,0.149466192,0.049822064,0.133199877,0.096858639,0.363566369,0.011395134,121,96,12,2,44,12,535,3,11.6,10.2,0.169233138,quality,quality
19306,1148,105659,0.838850174,0.028745645,0,0,0.000730706,0.034186263,0.175087108,0.052264808,0.140837045,0.108049311,0.408370455,0.021754895,450,277,6,3,29,88,210,5,11.2,9.8,0.111934114,quality,quality
2175,103,11275,0.86407767,0.029126214,0.019417476,0.009708738,0.008389104,0.03816092,0.203883495,0.087378641,0.15816092,0.097931034,0.325517241,0.019310345,24,8,4,4,30,9,233,30,11.3,10.2,0.296551724,nonquality,nonquality
1543,87,8790,0.781609195,0.022988506,0.045977011,0,0.008984014,0.035644848,0.08045977,0.057471264,0.134154245,0.077122489,0.47051199,0.011017498,29,49,0,3,30,15,98,44,12.6,10.7,0.283214517,quality,nonquality
3822,183,20086,0.825136612,0.010928962,0.010928962,0,0.004508943,0.049450549,0.355191257,0.06557377,0.150706436,0.08477237,0.36237572,0.010989011,79,15,1,2,31,22,168,14,11.6,10,0.230809399,quality,quality
